iter	Passed	Remaining
228	985	42045
229	988	41994
230	992	41957
231	995	41908
232	998	41876
233	1002	41833
234	1006	41804
235	1009	41764
236	1012	41729
237	1016	41693
238	1020	41658
239	1023	41617
240	1026	41584
241	1031	41581
242	1035	41576
243	1039	41546
244	1043	41528
245	1046	41499
246	1056	41725
247	1064	41877
248	1075	42113
249	1082	42232
250	1089	42319
251	1099	42528
252	1105	42583
253	1109	42561
254	1113	42548
255	1117	42529
256	1120	42495
257	1124	42470
258	1128	42438
259	1132	42410
260	1135	42376
261	1139	42355
262	1143	42333
263	1147	42304
264	1150	42269
265	1154	42233
266	1158	42237
267	1163	42258
268	1168	42277
269	1173	42284
270	1179	42327
271	1186	42425
272	1192	42499
273	1196	42483
274	1200	42469
275	1205	42472
276	1210	42501
277	1214	42474
278	1218	42438
279	1222	42438
280	1226	42408
281	1230	42411
282	1235	42409
283	1239	42400
284	1244	42413
285	1248	42391
286	1252	42389
287	1257	42390
288	1264	42499
289	1273	42629
290	1278	42662
291	1282	42639
292	1285	42604
293	1289	42582
294	1293	42566
295	1298	42556
296	1302	42545
297	1306	42532
298	1310	42508
299	1313	42483
300	1317	42451
301	1320	42416
302	1324	42388
303	1328	42356
304	1332	42340
305	1336	42329
306	1341	42343
307	1344	42313
308	1349	42310
309	1353	42322
310	1358	42311
311	1363	42340
312	1367	42314
313	1372	42340
314	1377	42351
315	1381	42334
316	1385	42334
317	1389	42319
318	1394	42313
319	1397	42283
320	1402	42278
321	1407	42293
322	1412	42317
323	1416	42297
324	1421	42320
325	1426	42325
326	1431	42343
327	1436	42356
328	1439	42326
329	1444	42328
330	1449	42335
331	1454	42351
332	1459	42366
333	1464	42381
334	1474	42533
335	1496	43029
336	1510	43297
337	1519	43425
338	1524	43443
339	1531	43499
340	1536	43515
341	1540	43503
342	1544	43476
343	1548	43473
344	1553	43481
345	1557	43465
346	1562	43471
347	1567	43486
348	1571	43465
349	1575	43431
350	1580	43435
351	1584	43423
352	1588	43401
353	1591	43371
354	1595	43354
355	1599	43323
356	1603	43309
357	1606	43279
358	1611	43270
359	1615	43249
360	1619	43240
361	1622	43206
362	1627	43200
363	1631	43180
364	1636	43188
365	1639	43149
366	1643	43149
367	1647	43133
368	1652	43120
369	1657	43129
370	1661	43112
371	1665	43118
372	1669	43100
373	1674	43087
374	1677	43062
375	1682	43072
376	1686	43046
377	1690	43035
378	1694	43008
379	1698	43003
380	1701	42968
381	1706	42955
382	1709	42928
383	1713	42910
384	1717	42882
385	1721	42875
386	1725	42854
387	1729	42855
388	1733	42831
389	1737	42809
390	1740	42780
391	1745	42773
392	1748	42746
393	1752	42735
394	1757	42737
395	1764	42790
396	1770	42824
397	1777	42875
398	1783	42912
399	1788	42920
400	1793	42942
401	1799	42975
402	1804	42978
403	1810	43001
404	1816	43026
405	1821	43031
406	1827	43071
407	1833	43110
408	1838	43120
409	1843	43129
410	1848	43126
411	1854	43152
412	1859	43174
413	1864	43174
414	1868	43165
415	1873	43169
416	1878	43172
417	1888	43296
418	1909	43655
419	1924	43892
420	1930	43928
421	1941	44074
422	1949	44127
423	1955	44157
424	1963	44232
425	1971	44306
426	1976	44316
